"user.self"	"sys.self"	"elapsed"	"num_rows"
5.0600000000004	1.38	7.21000000000004	10000
11.0799999999999	1.58999999999997	14.75	100000
13.1899999999996	2.35000000000002	17.8199999999997	150000
15.8100000000004	3.19	21.6300000000001	200000
21.0200000000004	3.87	29.1700000000001	300000
31.1899999999996	4.88999999999999	42.75	500000
58.4700000000003	9.42000000000002	76.9700000000003	1000000
86.29	13.25	110.4	1500000
117.3	16.88	147	2000000
152.2	21.41	189.84	2500000
163.14	23.63	205.97	3000000
189.84	29.19	241.12	3500000
237.98	33.37	293.56	4000000
265.49	36.92	326	4500000
