ID	chromosome_name	start_position	end_position	S6_GR-10824	S8_GR-1615	S8_GR-7341 D	S6_GR-3810	S6_GR-6296 D	S6_GR-9320	S8_GR-2980 D	S8_GR-1114	S6_GR-7150
cg11249390	6	139306199	139306200	0.94046743410183	0.955499585162792	0.911386360711597	0.394988036480293	0.916614194504967	0.940841033840121	0.910114711348131	0.970467474581036	0.902885365627478
cg14089512	10	102106756	102106757	0.142736345468223	0.0953748942856744	0.0872769830267968	0.0716846296757911	0.101519361076079	0.10398520529148	0.113098270798008	0.0639341042405465	0.0803634623564516
cg23538064	6	31913274	31913275	0.534750408927843	0.477115762827491	0.607233485459779	0.890491770685282	0.836011473513493	0.829118166591494	0.56457866027703	0.879435081700571	0.598619531076774
cg03493146	7	69062081	69062082	0.296888716825411	0.0108271370168252	0.0177089545722588	0.320821626618974	0.025012805737144	0.190697669313075	0.0690453274477538	0	0.109201879781537
cg16710109	12	110011301	110011302	0.0169370890326774	0.0347377764775615	0.0216608536965403	0.0255669747234878	0.0540187521909369	0.034379216801236	0.0244994700938518	0.0152153102287249	0.0247910416717222
cg13842154	14	103390246	103390247	0.0943992735020423	0.0620307112099173	0.0778488972922027	0.070613421100069	0.0796539262352145	0.137194488663473	0.064627293844307	0.0582172478762732	0.104540340073908
cg16318271	4	41748192	41748193	0.719433538927813	0.618882541538896	0.195748538901675	0.141974200917163	0.194082275831511	0.249645894738456	0.131194661936508	0.07619100195533	0.232266273166206
cg13422804	9	139582672	139582673	0.86799885052948	0.122889063629476	0.355291246264117	0.145390941286916	0.126260295310351	0.556783050037795	0.137075283412714	0.330871343364145	0.170241605751178
cg08604223	5	75903699	75903700	0.0370879504162147	0	0.0526170929437567	0.00982754196760605	0.0373311263910196	0.00321879916786052	0.0531159843188918	0.100383617777714	0.311071815226664
cg16370398	12	54448912	54448913	1	0.985857859724776	0.0999920864329386	0.877285354591024	0.471057682174183	0.49640567989163	0.752200329572795	0.404480185714209	1
cg20033082	22	18111901	18111902	0.057329167272324	0.0448729408066491	0.0559184407171768	0.0499738452456372	0.0895942490165492	0.0459109605845881	0.0703935378435346	0.0570895441134322	0.0772405371801651
cg15432303	12	133169907	133169908	0.915027633225013	0.893097250301995	0.883915090282592	0.884012524072412	0.845827715632905	0.889604000654895	0.885165325897672	0.908511122117496	0.929031554554792
cg08873779	16	88772657	88772658	0.0468206687794343	0.0903854317896722	0.114395090822771	0.0768554352467391	0.128307480590591	0.113898950923755	0.249893750773952	0.0684843238669918	0.070070206442589
cg01802593	12	22349725	22349726	0.0100428486971554	0.349208649971559	0.593375056306826	0	0	0.762779841870163	0.458275623241756	0.915401044462145	0.577363335799043
cg18642003	4	105396830	105396831	0.95287343789434	0.926955769849288	0.908419517914751	0.942955196907081	0.939795711957336	0.96545382419165	0.921002032721566	0.949210645842213	0.979590794467473
cg21345510	15	67358093	67358094	0.0415962867166188	0.0211320786839911	0.030510529140043	0.0447036085249747	0.0403758908329051	0.0326319205722725	0.0364928507180994	0.0207917080574182	0.0304545746061702
cg01007305	10	88123686	88123687	0.3116012784637	0.169095611343002	0.515072493934552	0.162554477843228	0.521812294499835	0.615368849241248	0.190302174033828	0.541561504157416	1
cg00656647	12	56101844	56101845	0.0242141384346995	0.0263477610700944	0.00699660760152923	0.0348344778440575	0.018211107424435	0.00310254648176867	0.0149727069295216	0.00228225634183533	0.0227333428942561
cg19974283	3	149510375	149510376	0.931156162782665	0.933204020379551	0.934759777180925	0.932634933360097	0.917234442920305	0.926914992994049	0.966161009239286	0.938664310518545	0.934607575590313
cg07563409	19	44731293	44731294	0.959377064105956	0.960238069112395	0.967726346345773	0.963847169894373	0.949785846524988	0.943613322708918	0.941260333457312	0.994171496279752	0.958818275008222
cg03533141	1	45243517	45243518	0.0512102458187157	0.0170651639952008	0.159973220410764	0.0570652619793339	0.0255761359048836	0.0166947268027458	0.0755954418170242	0	0
cg25653204	19	52264428	52264429	0.110487316421787	0.123715483284603	0.59257090022502	0.219625968825835	0.17873380719014	0.462056488941867	0.0876372318797177	0.162994911934231	0.25070656947662
cg04285477	14	74194515	74194516	0.870299084538403	0.848932931568798	0.559692331968042	0.828064089774893	0.911468724711393	0.87697702926755	0.865785456252017	0.925828526162368	0.901523096318382
cg02769599	15	27503579	27503580	0.778956092126563	0.847371983933852	0.473848318894197	0.863230220815937	0.421204014804818	0.85557910799713	0.844976265536026	0.879323174907982	0.602029112127939
cg09124190	18	3448418	3448419	0.0736719247853861	0.0863555585012146	0.0930255481708335	0.0763334321837761	0.0677547594159628	0.0684993823649474	0.089892770473124	0.0380466553663645	0.0477234341408601
cg06739520	20	5891967	5891968	0.537102638576899	0.0701822839761501	0.1306701440028	0.0918050159438119	0.0750594459809096	0.108214700682163	0.0444816149949717	0.0530843673138723	0.116574365066982
cg04741636	3	122283582	122283583	0.0851753889663921	0.096431746809956	0.0843300871768832	0.0356483922583709	0.0838890468853091	0.0417936492124511	0.0746005225006115	0.0551021977054051	0.0446164187514408
cg01844352	2	38763249	38763250	0.225403964184256	0.0479284375949615	0.0653915442611229	0.052847515328941	0.0684351106638258	0.0735022797857498	0.082637792605027	0.0344158985915236	0.0659478503177667
cg10376161	1	112057878	112057879	0.0592604630033631	0.0821766399029421	0.111334559871408	0.0497298917256856	0.00693837217086662	0.113755290284095	0.104101110624146	0.0940202722025498	0.0296904965231446
cg03195667	17	57408602	57408603	0.0306802424561667	0.0178117506874462	0.0255758321776706	0.0173553870543601	0.0242889391830088	0.0206240002476187	0.0312682611323899	0.0185519434867264	0.0229147883655188
cg04903159	6	44202698	44202699	0.198666461577816	0.354102142918316	0.720675700792764	0.704313219874521	0.40492031893636	0.758303698384544	0.796145236929002	0.763381640457502	0.779111853972133
cg12659287	7	98565246	98565247	0.933855217367249	0.93367561835282	0.94196808400438	0.94469242638568	0.931016133170054	0.960473395869463	0.948378234827111	0.977740480834661	0.945886680847748
cg27525876	16	89294244	89294245	0.959674762171711	0.933428661452415	0.987186263912307	1	0.923565030110011	0.955266064280479	0.938411501182784	0.951928411478188	0.974141940370022
cg24954590	5	140777610	140777611	0.216622891785603	0.30500841807019	0.346674705740434	0.131532825488693	0.214233863298598	0.204947312174728	0.134291086372843	0.141996408874277	0.428694611436426
cg17420885	1	87600445	87600446	0.681044884965411	0.531329330003725	0.581577963419852	0.61502080569978	0.273557182729916	0.636041173357773	0.584113255701911	0.861371088950489	0.885232108379867
cg05142140	3	49055320	49055321	0.0472788051765079	0.0344625082803699	0.0598301106270679	0.0413480619735091	0.0511035786650673	0.0381258092928886	0.0545206250465886	0.0463103914634842	0.0493613138626868
cg08189391	19	49533713	49533714	0.900318427484408	0.884626678681544	0.885019741898697	0.912025136976595	0.92005911231689	0.903971529883296	0.915733203976769	0.937868271367946	0.900776917560303
cg11987916	1	244008858	244008859	0.967281694892445	0.800160864036012	0.667824150561532	0.721657522598183	0.780554160482214	0.946760852980891	0.833739045372464	0.444683471494371	0.635384617355416
cg24708006	6	85483054	85483055	0.195645459151262	0.620997295643963	0.156382251962716	0.167848878615066	0.203038665914527	0.390390033616088	0.17175510426448	0.096754243823022	0.773051593776778
cg11313468	19	41782182	41782183	0.924130234434387	0.957552521575438	0.875608337758535	0.852671961434771	0.827159267440245	0.52190971063227	0.921964224232078	0.711016429635631	0.705691387706238
cg12850990	3	57313720	57313721	0.943348229867891	0.927463436118077	0.917866487862504	0.938712927138112	0.916352561094074	0.934169063320678	0.940940511019767	0.969417992305081	0.931212938116673
cg23859931	19	22123796	22123797	0.76297176233036	0.820823129299906	0.356595374888842	0.911350755611425	0.621630236470679	0.374143871516807	0.821743031070654	0.755430618821817	0.902193594910477
