LOC	Chromosome	Start	End	gene.features.locus	Genes	S1	S2	S8	S9	S11	S4	S5	S6	S7	S10	S12	V7
XLOC_007972	chr13	25746961	25754139	chr13:25746961-25754139	LINC00463	0	0	0	0	0	0	0	0	0	0	0	-
XLOC_010147	chr15	43920187	44116987	chr15:43920187-44116987	SERINC4	11.1365	3.24143	4.90971	4.88603	8.24416	9.58265	7.783	8.12639	10.9458	4.50784	7.54843	-
XLOC_020484	chr3	167613735	167641797	chr3:167613735-167641797	LINC01330	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_018242	chr20	42543125	42698254	chr20:42543125-42698254	TOX2	0.639207	0.060621	0.540828	0.33719	1.15547	2.30267	5.75	21.2632	6.39748	2.55408	4.52095	+
XLOC_018387	chr20	168493	170322	chr20:168493-170322	DEFB128	0	0	0	0	0	0	0	0	0	0	0	-
XLOC_006997	chr12	57316937	57328189	chr12:57316937-57328189	SDR9C7	0	0	0	0	0	0	0	0	0	0	0	-
XLOC_002676	chr1	35305355	35306685	chr1:35305355-35306685	NA	0	0	0	0.0890274	0.0969137	0.0381214	0	0	0.0506036	0.986821	0	.
XLOC_014558	chr19	47759730	47793304	chr19:47759730-47793304	CCDC9,INAFM1	15.3618	18.5748	15.9659	10.7428	38.0962	21.238	12.03	40.2624	24.1858	13.6441	35.4506	+
XLOC_007076	chr12	76438753	76478930	chr12:76438753-76478930	NAP1L1	316.578	79.6193	209.557	102.901	81.7761	136.319	234.62	79.7282	144.619	66.6196	63.9666	-
XLOC_000865	chr1	155100348	155107386	chr1:155100348-155107386	EFNA1	0	0.0469567	0	0	0	0.128708	0.142339	0.152647	0.0827907	0.0476261	0	+
XLOC_017758	chr2	96195037	96198045	chr2:96195037-96198045	NA	0.175759	0.0261874	0.078255	0.230249	0	0.0301182	0.0543256	0.0476506	0.0199492	1.40805	0	.
XLOC_000351	chr1	41151080	41237881	chr1:41151080-41237881	NFYC	17.5892	12.703	20.4778	17.1736	15.0163	15.6398	20.6218	9.1633	15.4249	11.837	11.5055	+
XLOC_015316	chr19	44035699	44079738	chr19:44035699-44079738	XRCC1	9.5495	5.21044	9.31142	5.79071	5.16304	7.49116	6.75885	4.88568	8.16447	6.33015	8.24636	-
XLOC_029070	chr8	98787808	98864830	chr8:98787808-98864830	LAPTM4B	0.629638	0.204449	7.15671	0	0.11064	0.424186	1.1004	0.520229	0.368943	0.314314	1.52374	+
XLOC_009378	chr14	50378328	50379665	chr14:50378328-50379665	NA	0.2127	1.2709	0.0962126	0.353592	0.384847	0.265156	0	0	0.0502813	0.979891	0	.
XLOC_032198	chrX	106143292	106174091	chrX:106143292-106174091	RIPPLY1	0	0	0	0	0	0	0	0	0	0	0	-
XLOC_015184	chr19	35084345	35085490	chr19:35084345-35085490	SCGB2B2	0	0	0	0	0	0.194908	0	0	0	0	0	-
XLOC_009005	chr14	31359856	31677979	chr14:31359856-31677979	HECTD1	6.25814	16.2648	8.67923	19.0444	14.9058	15.4637	6.70203	13.2889	14.6691	14.235	14.1046	-
XLOC_012553	chr17	1471995	1536406	chr17:1471995-1536406	SLC43A2	27.8598	13.4065	12.9747	11.9167	15.201	11.4756	20.2064	13.6018	13.9482	5.37638	12.4518	-
XLOC_015744	chr1_gl000192_random	429709	468683	chr1_gl000192_random:429709-468683	CH17-408M7.1	0	0	0	0	0	0	0	0	0	0	0	-
XLOC_011452	chr16	30003641	30024917	chr16:30003641-30024917	INO80E	0	0.320158	0.08521	0.352124	0.611775	0.318987	0	0.207998	0.46605	0.777848	0.978139	-
XLOC_032395	chrX	153285370	153285440	chrX:153285370-153285440	MIR718	0	0	0	0	0	0	0	0	0	0	0	-
XLOC_011991	chr17	10531842	10718481	chr17:10531842-10718481	TMEM220-AS1	0.241831	2.40945	0.574472	1.3567	1.94927	0.819417	1.22233	0.312532	2.41106	0.795826	0.814054	+
XLOC_022007	chr4	160024177	160281368	chr4:160024177-160281368	MIR3688-2	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_001559	chr1	27992571	27998724	chr1:27992571-27998724	IFI6	23.7987	15.6329	10.6477	5.73617	19.6045	19.7857	20.6144	16.378	17.5677	22.0458	3.46342	-
XLOC_022515	chr4	170015406	170192249	chr4:170015406-170192249	SH3RF1	0.100322	0.330752	0.28455	0	0.016619	0.193727	0.0476606	0.0234681	0.355083	0.0439081	0.0579013	-
XLOC_011631	chr16	72150110	72206349	chr16:72150110-72206349	PMFBP1	0	0.140272	0.145252	0.0331762	0.190461	0.431445	0.0635153	0.167418	0.0965974	0.333837	0.772219	-
XLOC_018711	chr20	61193440	61202889	chr20:61193440-61202889	NA	0	0.137845	3.72262	0	0	0.025549	0	0.307941	0.0431533	0.0463696	0.08344	-
XLOC_022975	chr5	79615789	79617660	chr5:79615789-79617660	SPZ1	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_028857	chr8	23145438	23263024	chr8:23145438-23263024	R3HCC1	35.4429	3.25443	24.7876	4.05474	3.27396	9.58196	29.0094	3.77385	9.37586	4.82839	5.81044	+
XLOC_006740	chr12	10222152	10251664	chr12:10222152-10251664	CLEC1A	0	0.372905	0.0545148	0	0	0.108631	0.0866583	0.0628345	0.0679293	0	0	-
XLOC_006343	chr12	58087737	58135974	chr12:58087737-58135974	OS9	173.584	40.9829	126.982	44.1756	51.2609	46.4377	97.8706	20.6921	64.8497	32.7967	36.8118	+
XLOC_019050	chr21	34860361	34864030	chr21:34860361-34864030	DNAJC28	0.406162	0.250636	0.225353	0.377292	0.105031	0.130807	0.947174	0	0.260261	0.631036	0.506411	-
XLOC_001515	chr1	23624673	23670955	chr1:23624673-23670955	HNRNPR	11.1748	17.3697	17.4677	20.793	14.3667	26.4052	18.5652	17.0713	18.81	24.3068	13.5904	-
XLOC_025644	chr6	14286470	14287505	chr6:14286470-14287505	NA	0	0.305452	0	0.635936	1.25948	0	0.0933317	2.36119	0	0	1.75972	.
XLOC_021144	chr3	151967058	152189527	chr3:151967058-152189527	MBNL1	0.883638	7.74601	2.40436	6.54767	9.06685	1.45878	1.97013	3.37313	4.63153	3.81594	3.25203	-
XLOC_005449	chr11	63527363	63536113	chr11:63527363-63536113	C11orf95	0.366732	0.921605	0.66213	1.06393	1.86044	1.49319	0.777253	0.300473	1.20353	0.451875	1.05147	-
XLOC_000150	chr1	16160709	16302735	chr1:16160709-16302735	SPEN	2.86631	23.8021	7.03853	21.7789	50.561	16.9427	3.7655	26.0834	38.8773	22.5261	23.2886	+
XLOC_020937	chr3	100053533	100175170	chr3:100053533-100175170	TOMM70A	13.7007	5.33737	10.2819	7.95657	6.19073	10.3334	20.4404	5.67897	7.90733	11.729	5.46368	-
XLOC_009238	chr14	95234559	95236499	chr14:95234559-95236499	GSC	0	0	0	0	0	0.346903	0.137523	0.156886	0.270174	0	0	-
XLOC_008853	chr14	101521755	101521828	chr14:101521755-101521828	MIR485	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_007720	chr13	37573977	37633850	chr13:37573977-37633850	EXOSC8	12.3497	8.66323	10.5937	14.1812	11.2295	16.1864	14.7772	9.07839	12.7331	12.6979	12.8819	+
XLOC_028683	chr7	140181991	140182591	chr7:140181991-140182591	NA	0	0	0	0.688635	0	0.342608	0	0.476173	0.305198	3.16205	0	.
