"chromosome_name"	"tad_name"	"start_position"	"end_position"	"merged_from"	"parent"
"1"	"TAD10"	9780595	9780645	"TAD1032;cg10930289"	"1"
"1"	"TAD10"	9780733	9780783	"TAD1032;cg17927236"	"1"
"1"	"TAD10"	10388621	10388671	"TAD1030;cg23917249"	"1"
"5"	"TAD1000"	58187146	58187196	"TAD1030;cg12842791"	"1"
"5"	"TAD1002"	60596480	60596530	"TAD1028;cg11215486"	"1"
"5"	"TAD1002"	60699350	60699400	"TAD1027;cg15170644"	"1"
"5"	"TAD1002"	60745961	60746011	"TAD1027;cg14649720"	"1"
"5"	"TAD1006"	63801809	63801859	"TAD1026;cg26982447"	"1"
"5"	"TAD1007"	64399730	64399780	"TAD1026;cg26305827"	"1"
"5"	"TAD1007"	64486396	64486446	"TAD1026;cg21800232"	"1"
"5"	"TAD1013"	70897371	70897421	"TAD1026;cg14478163"	"1"
"5"	"TAD1014"	71614727	71614777	"TAD1026;cg08907282"	"1"
"5"	"TAD1014"	71643816	71643866	"TAD1026;cg14711743"	"1"
"5"	"TAD1015"	71724338	71724388	"TAD1026;cg20942286"	"1"
"5"	"TAD1017"	72512090	72512140	"TAD1025;cg18281939"	"1"
"5"	"TAD1017"	72677205	72677255	"TAD1024;cg22792988"	"1"
"5"	"TAD1017"	72712811	72712861	"TAD1024;cg13928102"	"1"
"5"	"TAD1017"	72747944	72747994	"TAD1024;cg20664638"	"1"
"5"	"TAD1017"	72795156	72795206	"TAD1023;cg20417024"	"1"
"1"	"TAD102"	79472318	79472368	"TAD1023;cg12524168"	"1"
"1"	"TAD102"	79472427	79472477	"TAD1023;cg25585647"	"1"
"1"	"TAD102"	80516566	80516616	"TAD1023;cg06730183"	"1"
"5"	"TAD1021"	74907262	74907312	"TAD1022;cg06430061"	"1"
"5"	"TAD1022"	75013567	75013617	"TAD1021;cg27379109"	"1"
"5"	"TAD1023"	76005674	76005724	"TAD102;cg24358047"	"1"
"5"	"TAD1023"	76011897	76011947	"TAD102;cg26422458"	"1"
"5"	"TAD1023"	76028885	76028975	"TAD102;cg21113740|TAD1017;cg23035209"	"1|1"
"5"	"TAD1024"	76170393	76170443	"TAD1017;cg09504322"	"1"
"5"	"TAD1024"	76360025	76360075	"TAD1017;cg11423680"	"1"
"5"	"TAD1024"	76376879	76376929	"TAD1017;cg00462107"	"1"
"5"	"TAD1025"	77783870	77783920	"TAD1017;cg26590003"	"1"
"5"	"TAD1026"	79366524	79366574	"TAD1015;cg25351763"	"1"
"5"	"TAD1026"	79514552	79514602	"TAD1014;cg25769469"	"1"
"5"	"TAD1026"	79648007	79648057	"TAD1014;cg04527989"	"1"
"5"	"TAD1026"	79866294	79866393	"TAD1013;cg17254386|TAD1007;cg21033632"	"1|1"
"5"	"TAD1026"	79866844	79866894	"TAD1007;cg21123686"	"1"
"5"	"TAD1026"	79867212	79867262	"TAD1006;cg03827337"	"1"
"5"	"TAD1027"	80885911	80885961	"TAD1002;cg18259253"	"1"
"5"	"TAD1027"	80901333	80901383	"TAD1002;cg19456451"	"1"
"5"	"TAD1028"	82949563	82949613	"TAD1002;cg16572695"	"1"
"5"	"TAD1030"	86491425	86491475	"TAD1000;cg04088338"	"1"
"5"	"TAD1030"	86619783	86619833	"TAD10;cg19773385"	"1"
"5"	"TAD1032"	87565527	87565577	"TAD10;cg15701170"	"1"
"5"	"TAD1032"	87898663	87898713	"TAD10;cg15499275"	"1"
