LOC	Chromosome	Start	End	gene.features.locus	Genes	S1	S2	S8	S9	S11	S4	S5	S6	S7	S10	S12	V7
XLOC_000001	chr1	11873	29370	chr1:11873-29370	DDX11L1	0.167751	0.199951	0.0779174	0.190873	0.0773154	0.10452	0.0488422	0.0840655	0.0383534	0.151837	0.0836381	+
XLOC_000002	chr1	11873	29370	chr1:11873-29370	WASH7P	0	1.19772	0.761541	0.850472	1.21268	3.24382	0.0722865	0.661038	0.870927	0.58226	1.23834	+
XLOC_000003	chr1	30365	30503	chr1:30365-30503	MIR1302-10	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000004	chr1	69090	70008	chr1:69090-70008	OR4F5	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000005	chr1	323891	328581	chr1:323891-328581	LOC100132062,LOC100133331	0.0363166	0.0449181	0	0.0583464	0.0861039	0.0201765	0	0.0377682	0.162019	0.0643269	0	+
XLOC_000006	chr1	367658	368597	chr1:367658-368597	OR4F16	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000007	chr1	667777	669456	chr1:667777-669456	NA	0	0.154191	0	0.195866	0.546934	0.128956	0	0.452831	0.0402291	0.0568783	0.705799	+
XLOC_000008	chr1	669991	672520	chr1:669991-672520	NA	0	0.0932958	0.0495458	0.276764	0.531547	0.0794018	0	0.0564703	0.0229736	0.07123	0	+
XLOC_000009	chr1	678725	762902	chr1:678725-762902	NA	0.0553334	1.05898	0.0889092	0.70932	0.854137	0.58153	0.101669	0.826298	0.583781	0.87011	1.03115	+
XLOC_000010	chr1	678725	762902	chr1:678725-762902	FAM87B	0.924777	0.304355	0.0646672	0.445587	0.442466	0.217417	0	2.14263	0.307781	0.558172	0.91979	+
XLOC_000011	chr1	762970	812182	chr1:762970-812182	LINC01128	4.4942	2.45154	4.12622	0.917036	5.77739	27.594	2.20327	5.46071	29.4251	1.64819	4.29996	+
XLOC_000012	chr1	861120	894798	chr1:861120-894798	SAMD11	0.507893	1.15338	0.0851271	0	0.130713	0.0112842	0.0253451	0.187728	0.031734	0.143367	0.110232	+
XLOC_000013	chr1	895962	901099	chr1:895962-901099	KLHL17	0.5074	2.29744	1.37969	1.30081	2.38463	2.73785	0.620149	0.991934	1.59654	0.749686	2.53965	+
XLOC_000014	chr1	901876	910484	chr1:901876-910484	PLEKHN1	0.113704	0.0328734	0	0.213236	0.278248	0.0973584	0.429387	0.331597	0.105294	0.121417	0.145016	+
XLOC_000015	chr1	948846	949919	chr1:948846-949919	ISG15	288.016	13.9091	52.1174	10.053	34.2127	13.2366	90.5326	18.1795	24.6225	6.08532	19.7878	+
XLOC_000016	chr1	955502	991499	chr1:955502-991499	AGRN	1.02476	1.94915	1.06108	1.41379	1.31375	0.750311	0.26983	1.32418	0.896746	0.160838	0.440622	+
XLOC_000017	chr1	999876	1004420	chr1:999876-1004420	NA	0.353697	1.0722	0.11094	1.51213	2.44111	1.25483	0.0684079	1.30876	1.98276	0.537384	7.56436	+
XLOC_000018	chr1	1072396	1079434	chr1:1072396-1079434	LINC01342	0	0.605941	0.0764898	0.92673	0	0.0840365	0.047414	0	0.225262	0.438725	0.524795	+
XLOC_000019	chr1	1102483	1102578	chr1:1102483-1102578	MIR200B	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000020	chr1	1103242	1103332	chr1:1103242-1103332	MIR200A	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000021	chr1	1104384	1104467	chr1:1104384-1104467	MIR429	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000022	chr1	1109285	1133313	chr1:1109285-1133313	TTLL10	0	0.0329677	0	0	0	0.0522502	0	0.103261	0.0337832	0	0	+
XLOC_000023	chr1	1146705	1167483	chr1:1146705-1167483	NA	0	0.516592	0	0	2.30673	0.277816	0.0817288	1.15603	0.365741	0.220148	0.19376	+
XLOC_000024	chr1	1146705	1167483	chr1:1146705-1167483	SDF4	0.532277	2.30391	1.94171	4.70215	6.49556	4.28009	0.215293	3.41299	3.39368	3.48569	5.49379	+
XLOC_000025	chr1	1167628	1170420	chr1:1167628-1170420	B3GALT6	6.65148	3.1673	7.07168	5.65822	2.64798	1.79829	7.84928	2.93791	2.80665	5.59812	6.7396	+
XLOC_000026	chr1	1188387	1209234	chr1:1188387-1209234	UBE2J2	0.041518	2.12316	0.53157	1.69668	3.42648	1.31682	0.145838	1.92468	0.764292	1.60668	3.80027	+
XLOC_000027	chr1	1209394	1215597	chr1:1209394-1215597	NA	0.111905	1.38902	0.433299	1.55819	1.44123	0.791604	0.0876622	1.76726	0.730476	0.756791	1.20055	+
XLOC_000028	chr1	1215710	1227409	chr1:1215710-1227409	SCNN1D	0.150385	0.966234	0.343048	1.77205	2.28564	1.80833	0.221253	2.42822	1.1823	1.20208	2.30537	+
XLOC_000029	chr1	1243677	1284821	chr1:1243677-1284821	PUSL1	5.99916	3.01903	4.77025	2.27006	2.5357	2.0886	3.9594	5.46007	3.12123	3.21033	3.37968	+
XLOC_000030	chr1	1243677	1284821	chr1:1243677-1284821	CPTP,TAS1R3	19.6136	3.39272	11.6044	3.8577	10.499	8.3362	27.8459	2.16696	5.74041	7.64844	5.42853	+
XLOC_000031	chr1	1321090	1346244	chr1:1321090-1346244	LOC148413	5.64493	5.05043	6.09372	4.23644	4.72553	5.88005	7.20326	4.89629	4.63704	5.47458	6.24969	+
XLOC_000032	chr1	1361507	1363167	chr1:1361507-1363167	TMEM88B	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000033	chr1	1370902	1378262	chr1:1370902-1378262	VWA1	0	0	0.0533674	0	0	0	0.0154242	0	0	0	0	+
XLOC_000034	chr1	1385068	1405852	chr1:1385068-1405852	ATAD3C	3.52582	0.666248	0.113963	1.26593	1.3303	0.19155	3.73289	0.613312	0.359986	0.446949	0.661147	+
XLOC_000035	chr1	1407132	1431811	chr1:1407132-1431811	ATAD3B	1.93227	10.7486	5.80584	10.8112	13.3154	11.6666	1.62903	17.2753	13.3139	8.05484	19.1431	+
XLOC_000036	chr1	1447522	1470067	chr1:1447522-1470067	ATAD3A	9.41426	3.58636	13.1549	4.16754	4.54811	5.05732	5.90838	4.70489	6.39324	3.47861	6.69589	+
XLOC_000037	chr1	1548029	1570030	chr1:1548029-1570030	MIB2,MMP23A,MMP23B	5.57857	7.05233	4.99706	9.8076	11.4621	10.4026	4.00552	8.87645	9.57054	7.40921	12.8689	+
XLOC_000038	chr1	1570602	1681354	chr1:1570602-1681354	MMP23A	0.193602	2.30316	0.524248	1.35448	4.83606	2.7998	0.119623	2.86974	1.40985	1.02475	7.3742	+
XLOC_000039	chr1	1570602	1681354	chr1:1570602-1681354	MMP23A	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000040	chr1	1844821	1848733	chr1:1844821-1848733	CALML6	0	0.27089	0	0.140869	0.217828	0.587409	0.057512	0.178226	0.200755	0.196696	0.0672598	+
XLOC_000041	chr1	1950767	1962192	chr1:1950767-1962192	GABRD	0	0	0	0	0	0	0.105965	0	0.0426457	0	0	+
XLOC_000042	chr1	1979999	2144159	chr1:1979999-2144159	PRKCZ	11.9921	4.7115	4.56956	6.02806	6.62635	6.70386	13.1002	6.10732	13.3646	7.20472	9.18709	+
XLOC_000043	chr1	2159478	2246245	chr1:2159478-2246245	SKI	10.797	21.0979	10.1194	20.087	23.6562	13.9869	10.3387	35.1391	22.9035	25.0415	31.3556	+
XLOC_000044	chr1	2246398	2251741	chr1:2246398-2251741	NA	0	0.214123	0	0.449209	0.432718	0.420117	0.0985674	0.418368	0.474418	0.601977	1.11177	+
XLOC_000045	chr1	2251884	2344010	chr1:2251884-2344010	RER1	49.4868	14.5088	34.987	19.501	17.1101	18.2158	33.3572	7.70873	20.5042	18.4675	17.0379	+
XLOC_000046	chr1	2347350	2458067	chr1:2347350-2458067	PLCH2	0.246705	6.05001	1.18781	7.77133	2.18866	1.94892	0.736891	3.20215	1.31321	10.3469	16.6072	+
XLOC_000047	chr1	2477687	2516624	chr1:2477687-2516624	LOC100996583,TNFRSF14	75.687	14.8746	45.172	11.12	19.3181	24.3154	51.0917	22.2312	22.8771	12.4366	21.5463	+
XLOC_000048	chr1	2516844	2564481	chr1:2516844-2564481	FAM213B	11.8225	3.50255	9.79226	2.53173	2.29432	3.49437	8.3286	2.37636	2.57962	2.53025	2.11354	+
XLOC_000049	chr1	2938045	2939467	chr1:2938045-2939467	ACTRT2	0	0	0	0	0	0	0	0	0	0	0	+
XLOC_000050	chr1	2976180	3355185	chr1:2976180-3355185	PRDM16	0.0473146	0.125508	0.0124425	0.716043	10.5051	0.0529306	0	0	2.52299	0.252313	0.0297119	+
